sport,league,market,count,winrate,roi
American Football,NCAAFB,1st Half Team Total,28,0.5357142857142857,21.47888888888889
Basketball,Euroleague,Moneyline,28,0.5357142857142857,-4.196874999999999
Baseball,MLB,Other Player Props,26,0.5769230769230769,14.848846153846154
American Football,NFL,1st Quarter Moneyline,26,0.3076923076923077,-12.845
Baseball,MLB,Spread,25,0.48,-9.1996
Soccer,Premier League,Total Goals,25,0.48,-37.34
Soccer,International,Both Teams to Score,24,0.5416666666666666,4.414999999999999
Basketball,NBA,Player Double-Double,24,0.4166666666666667,-9.057826086956524
Basketball,NBA,3rd Quarter Moneyline,23,0.2608695652173913,-57.2
Basketball,Euroleague,Total Points,23,0.43478260869565216,-4.062
American Football,NFL,1st Half Moneyline,23,0.4782608695652174,2.058749999999999
American Football,NFL,1st Quarter Spread,23,0.43478260869565216,-7.672352941176471
Soccer,International,Total,23,0.6956521739130435,47.183846153846154
Basketball,NBA,Player P+R,23,0.43478260869565216,-12.488181818181818
Baseball,MLB,Total Points,22,0.4090909090909091,-12.680909090909092
Basketball,NBA,Player P+A,21,0.38095238095238093,-20.0875
